week,year,crop,doy,mean_ndvi,q25_ndvi,q75_ndvi,n_pixels
0,2008,corn,105,0.6626256103515625,0.628,0.684,4287444
1,2008,corn,112,0.6816417236328125,0.636,0.712,4287444
2,2008,corn,119,0.6888851318359375,0.644,0.72,4287444
3,2008,corn,126,0.6992457275390624,0.652,0.74,4287444
4,2008,corn,133,0.713249267578125,0.66,0.76,4287444
5,2008,corn,140,0.71166650390625,0.656,0.756,4287444
6,2008,corn,147,0.729574951171875,0.672,0.776,4287444
7,2008,corn,154,0.700154296875,0.64,0.76,4287444
8,2008,corn,161,0.7736556396484375,0.72,0.824,4287444
9,2008,corn,168,0.7972601928710937,0.748,0.848,4287444
10,2008,corn,175,0.827044921875,0.784,0.876,4287444
11,2008,corn,182,0.8742403564453125,0.844,0.916,4287444
12,2008,corn,189,0.907745849609375,0.892,0.94,4287444
13,2008,corn,196,0.9211801147460937,0.908,0.948,4287444
14,2008,corn,203,0.925258056640625,0.912,0.948,4287444
15,2008,corn,210,0.930092041015625,0.92,0.952,4287444
16,2008,corn,217,0.9276820678710938,0.92,0.952,4287444
17,2008,corn,224,0.9291953735351562,0.92,0.952,4287444
18,2008,corn,231,0.9224054565429688,0.912,0.944,4287444
19,2008,corn,238,0.9170917358398437,0.904,0.94,4287444
20,2008,corn,259,0.861863525390625,0.836,0.896,4287444
21,2008,corn,266,0.8153958740234375,0.776,0.856,4287444
22,2008,corn,273,0.7808589477539063,0.74,0.824,4287444
23,2008,corn,280,0.745899169921875,0.7,0.784,4287444
24,2008,corn,294,0.69892236328125,0.656,0.732,4287444
25,2008,corn,301,0.6906060180664062,0.652,0.72,4287444
26,2008,corn,308,0.665848388671875,0.632,0.692,4287444
0,2008,soy,105,0.6657102661132812,0.628,0.688,3522864
1,2008,soy,112,0.6848889770507812,0.636,0.724,3522864
2,2008,soy,119,0.6938805541992188,0.64,0.732,3522864
3,2008,soy,126,0.7044338989257812,0.648,0.748,3522864
4,2008,soy,133,0.718189208984375,0.656,0.768,3522864
5,2008,soy,140,0.7176002197265625,0.66,0.768,3522864
6,2008,soy,147,0.7314506225585937,0.672,0.784,3522864
7,2008,soy,154,0.7037528076171875,0.644,0.768,3522864
8,2008,soy,161,0.7678554077148437,0.716,0.816,3522864
9,2008,soy,168,0.781425048828125,0.732,0.828,3522864
10,2008,soy,175,0.7963009033203124,0.748,0.844,3522864
11,2008,soy,182,0.8418153076171875,0.804,0.884,3522864
12,2008,soy,189,0.8828828125,0.856,0.92,3522864
13,2008,soy,196,0.9030057373046875,0.88,0.936,3522864
14,2008,soy,203,0.91679931640625,0.9,0.944,3522864
15,2008,soy,210,0.929455078125,0.916,0.956,3522864
16,2008,soy,217,0.9326431884765625,0.92,0.956,3522864
17,2008,soy,224,0.9360140380859375,0.924,0.96,3522864
18,2008,soy,231,0.9300726318359375,0.916,0.952,3522864
19,2008,soy,238,0.926642578125,0.912,0.948,3522864
20,2008,soy,259,0.8632734375,0.832,0.9,3522864
21,2008,soy,266,0.8043028564453125,0.756,0.852,3522864
22,2008,soy,273,0.7691376342773437,0.724,0.812,3522864
23,2008,soy,280,0.7342488403320313,0.684,0.776,3522864
24,2008,soy,294,0.698939453125,0.652,0.736,3522864
25,2008,soy,301,0.6887384643554687,0.648,0.72,3522864
26,2008,soy,308,0.6654158325195313,0.628,0.696,3522864
0,2008,wheat,105,0.74648583984375,0.676,0.808,1217469
1,2008,wheat,112,0.766253173828125,0.7,0.828,1217469
2,2008,wheat,119,0.7846770629882812,0.716,0.856,1217469
3,2008,wheat,126,0.802536376953125,0.744,0.868,1217469
4,2008,wheat,133,0.811465576171875,0.752,0.88,1217469
5,2008,wheat,140,0.8164323120117187,0.76,0.88,1217469
6,2008,wheat,147,0.8159406127929687,0.76,0.88,1217469
7,2008,wheat,154,0.798909912109375,0.744,0.86,1217469
8,2008,wheat,161,0.7967747802734375,0.732,0.864,1217469
9,2008,wheat,168,0.7754324340820312,0.708,0.844,1217469
10,2008,wheat,175,0.7603181762695312,0.688,0.824,1217469
11,2008,wheat,182,0.7605780029296875,0.688,0.832,1217469
12,2008,wheat,189,0.7559689331054688,0.68,0.828,1217469
13,2008,wheat,196,0.7667788696289063,0.696,0.836,1217469
14,2008,wheat,203,0.766834228515625,0.7,0.832,1217469
15,2008,wheat,210,0.7719949951171875,0.696,0.844,1217469
16,2008,wheat,217,0.7507879028320312,0.672,0.828,1217469
17,2008,wheat,224,0.7681279296875,0.692,0.84,1217469
18,2008,wheat,231,0.7784669189453125,0.712,0.844,1217469
19,2008,wheat,238,0.7796337280273438,0.716,0.844,1217469
20,2008,wheat,259,0.7587374267578125,0.7,0.812,1217469
21,2008,wheat,266,0.7475687255859375,0.696,0.792,1217469
22,2008,wheat,273,0.7301279907226562,0.684,0.768,1217469
23,2008,wheat,280,0.7192732543945313,0.676,0.752,1217469
24,2008,wheat,294,0.7009886474609375,0.66,0.732,1217469
25,2008,wheat,301,0.7039996337890625,0.664,0.736,1217469
26,2008,wheat,308,0.6884550170898438,0.648,0.72,1217469
0,2009,corn,103,0.6550701904296875,0.624,0.672,4321769
1,2009,corn,110,0.6655619506835937,0.628,0.688,4321769
2,2009,corn,117,0.6659703979492188,0.632,0.696,4321769
3,2009,corn,124,0.6894570922851563,0.64,0.728,4321769
4,2009,corn,131,0.7192158203125,0.664,0.764,4321769
5,2009,corn,138,0.7209590454101562,0.66,0.772,4321769
6,2009,corn,145,0.737710205078125,0.68,0.784,4321769
7,2009,corn,152,0.7389248657226563,0.684,0.784,4321769
8,2009,corn,159,0.7372125244140625,0.68,0.792,4321769
9,2009,corn,166,0.8006956787109375,0.748,0.852,4321769
10,2009,corn,173,0.8735789794921875,0.844,0.916,4321769
11,2009,corn,180,0.8735568237304687,0.84,0.924,4321769
12,2009,corn,187,0.9041023559570313,0.884,0.936,4321769
13,2009,corn,194,0.9137431030273437,0.896,0.944,4321769
14,2009,corn,201,0.92653125,0.912,0.952,4321769
15,2009,corn,208,0.92641162109375,0.916,0.952,4321769
16,2009,corn,215,0.9308898315429688,0.92,0.952,4321769
17,2009,corn,222,0.9329061279296875,0.924,0.952,4321769
18,2009,corn,229,0.9173248901367187,0.904,0.948,4321769
19,2009,corn,236,0.9179818725585938,0.904,0.944,4321769
20,2009,corn,243,0.9137155151367188,0.9,0.944,4321769
21,2009,corn,250,0.8765933227539062,0.852,0.92,4321769
22,2009,corn,257,0.854031005859375,0.824,0.896,4321769
23,2009,corn,264,0.78657666015625,0.74,0.848,4321769
24,2009,corn,271,0.7881318359375,0.744,0.836,4321769
25,2009,corn,278,0.7403624877929688,0.7,0.784,4321769
26,2009,corn,285,0.691474853515625,0.652,0.728,4321769
27,2009,corn,292,0.6717706909179687,0.636,0.708,4321769
28,2009,corn,299,0.666354248046875,0.632,0.696,4321769
29,2009,corn,306,0.675145751953125,0.64,0.7,4321769
0,2009,soy,103,0.6578182373046875,0.624,0.68,3667609
1,2009,soy,110,0.6693800659179687,0.624,0.7,3667609
2,2009,soy,117,0.6628836669921875,0.624,0.692,3667609
3,2009,soy,124,0.6905101318359375,0.636,0.736,3667609
4,2009,soy,131,0.7202778930664062,0.66,0.772,3667609
5,2009,soy,138,0.7240009155273438,0.66,0.78,3667609
6,2009,soy,145,0.7364981079101562,0.676,0.788,3667609
7,2009,soy,152,0.7343858032226562,0.676,0.784,3667609
8,2009,soy,159,0.7252597045898438,0.672,0.776,3667609
9,2009,soy,166,0.776553466796875,0.724,0.828,3667609
10,2009,soy,173,0.8390540161132812,0.8,0.884,3667609
11,2009,soy,180,0.8376912841796875,0.788,0.892,3667609
12,2009,soy,187,0.8742874145507813,0.84,0.92,3667609
13,2009,soy,194,0.89330859375,0.864,0.932,3667609
14,2009,soy,201,0.9138546752929687,0.892,0.948,3667609
15,2009,soy,208,0.9169426879882813,0.896,0.948,3667609
16,2009,soy,215,0.9282672119140625,0.916,0.952,3667609
17,2009,soy,222,0.9375640258789063,0.928,0.956,3667609
18,2009,soy,229,0.9233392944335937,0.908,0.952,3667609
19,2009,soy,236,0.9277942504882812,0.912,0.952,3667609
20,2009,soy,243,0.923662841796875,0.912,0.948,3667609
21,2009,soy,250,0.8853544921875,0.86,0.928,3667609
22,2009,soy,257,0.848077392578125,0.812,0.896,3667609
23,2009,soy,264,0.7725479125976562,0.724,0.836,3667609
24,2009,soy,271,0.7725985717773437,0.724,0.82,3667609
25,2009,soy,278,0.7283629760742187,0.684,0.776,3667609
26,2009,soy,285,0.68687158203125,0.64,0.732,3667609
27,2009,soy,292,0.6762409057617188,0.636,0.716,3667609
28,2009,soy,299,0.6701602172851563,0.636,0.7,3667609
29,2009,soy,306,0.6783463134765625,0.64,0.708,3667609
0,2009,wheat,103,0.731189453125,0.672,0.784,1215783
1,2009,wheat,110,0.75436328125,0.692,0.816,1215783
2,2009,wheat,117,0.6953587646484375,0.632,0.756,1215783
3,2009,wheat,124,0.7953182373046875,0.738,0.856,1215783
4,2009,wheat,131,0.8154445190429688,0.768,0.868,1215783
5,2009,wheat,138,0.8228407592773438,0.776,0.872,1215783
6,2009,wheat,145,0.8216074829101563,0.78,0.868,1215783
7,2009,wheat,152,0.79462060546875,0.744,0.844,1215783
8,2009,wheat,159,0.7674094848632812,0.708,0.824,1215783
9,2009,wheat,166,0.7688160400390625,0.708,0.824,1215783
10,2009,wheat,173,0.781707275390625,0.72,0.84,1215783
11,2009,wheat,180,0.7636754150390626,0.704,0.816,1215783
12,2009,wheat,187,0.7704488525390625,0.708,0.828,1215783
13,2009,wheat,194,0.7668032836914063,0.7,0.832,1215783
14,2009,wheat,201,0.7690015869140625,0.7,0.836,1215783
15,2009,wheat,208,0.7740845336914063,0.712,0.836,1215783
16,2009,wheat,215,0.773500732421875,0.708,0.836,1215783
17,2009,wheat,222,0.7771057739257813,0.712,0.84,1215783
18,2009,wheat,229,0.7699521484375,0.704,0.832,1215783
19,2009,wheat,236,0.7619972534179688,0.696,0.824,1215783
20,2009,wheat,243,0.769209716796875,0.708,0.824,1215783
21,2009,wheat,250,0.7054627075195312,0.636,0.768,1215783
22,2009,wheat,257,0.7320806884765625,0.672,0.784,1215783
23,2009,wheat,264,0.71802294921875,0.668,0.764,1215783
24,2009,wheat,271,0.7155542602539062,0.664,0.76,1215783
25,2009,wheat,278,0.6742107543945313,0.628,0.712,1215783
26,2009,wheat,285,0.6760606689453125,0.632,0.712,1215783
27,2009,wheat,292,0.6644933471679687,0.624,0.7,1215783
28,2009,wheat,299,0.6775880737304687,0.636,0.712,1215783
29,2009,wheat,306,0.6857506103515625,0.644,0.716,1215783
0,2010,corn,102,0.6920458984375,0.648,0.724,4474566
1,2010,corn,109,0.6846224365234375,0.64,0.72,4474566
2,2010,corn,116,0.7070288696289062,0.656,0.748,4474566
3,2010,corn,123,0.71616845703125,0.66,0.768,4474566
4,2010,corn,130,0.67289892578125,0.624,0.712,4474566
5,2010,corn,137,0.7235873413085937,0.664,0.772,4474566
6,2010,corn,144,0.7531963500976563,0.692,0.804,4474566
7,2010,corn,151,0.77240869140625,0.716,0.828,4474566
8,2010,corn,158,0.7827614135742188,0.728,0.84,4474566
9,2010,corn,165,0.8637098999023437,0.824,0.912,4474566
10,2010,corn,172,0.8976817626953125,0.872,0.936,4474566
11,2010,corn,179,0.9146932373046875,0.9,0.944,4474566
12,2010,corn,186,0.922718994140625,0.904,0.952,4474566
13,2010,corn,193,0.9329723510742187,0.92,0.96,4474566
14,2010,corn,200,0.9252081909179688,0.912,0.952,4474566
15,2010,corn,207,0.9311928100585938,0.92,0.956,4474566
16,2010,corn,214,0.9345787353515626,0.924,0.956,4474566
17,2010,corn,221,0.9270183715820313,0.916,0.952,4474566
18,2010,corn,228,0.9224248046875,0.908,0.948,4474566
19,2010,corn,235,0.9059390258789063,0.888,0.936,4474566
20,2010,corn,242,0.870112548828125,0.84,0.908,4474566
21,2010,corn,249,0.8308049926757812,0.792,0.876,4474566
22,2010,corn,256,0.7950512084960938,0.748,0.844,4474566
23,2010,corn,263,0.756543212890625,0.708,0.804,4474566
24,2010,corn,270,0.7441813354492187,0.696,0.788,4474566
25,2010,corn,277,0.723654296875,0.676,0.76,4474566
26,2010,corn,284,0.7049169311523438,0.664,0.736,4474566
27,2010,corn,291,0.6828262939453125,0.644,0.712,4474566
28,2010,corn,298,0.6755930786132812,0.636,0.704,4474566
29,2010,corn,305,0.6868310546875,0.648,0.712,4474566
0,2010,soy,102,0.6928045043945312,0.644,0.728,3743352
1,2010,soy,109,0.6850126953125,0.64,0.72,3743352
2,2010,soy,116,0.7026643676757812,0.648,0.748,3743352
3,2010,soy,123,0.716996826171875,0.656,0.776,3743352
4,2010,soy,130,0.6710084838867187,0.624,0.708,3743352
5,2010,soy,137,0.7216209106445313,0.664,0.768,3743352
6,2010,soy,144,0.7507941284179688,0.688,0.804,3743352
7,2010,soy,151,0.75640380859375,0.7,0.808,3743352
8,2010,soy,158,0.7601212158203124,0.708,0.816,3743352
9,2010,soy,165,0.8315816040039062,0.788,0.88,3743352
10,2010,soy,172,0.8623247680664062,0.824,0.908,3743352
11,2010,soy,179,0.8973355712890625,0.872,0.932,3743352
12,2010,soy,186,0.9002510375976562,0.872,0.94,3743352
13,2010,soy,193,0.92099755859375,0.9,0.952,3743352
14,2010,soy,200,0.92334228515625,0.904,0.952,3743352
15,2010,soy,207,0.9323002319335938,0.916,0.96,3743352
16,2010,soy,214,0.9407860717773437,0.928,0.964,3743352
17,2010,soy,221,0.9351029052734375,0.924,0.96,3743352
18,2010,soy,228,0.935155029296875,0.924,0.956,3743352
19,2010,soy,235,0.9240183715820313,0.908,0.948,3743352
20,2010,soy,242,0.8980542602539062,0.876,0.932,3743352
21,2010,soy,249,0.8613130493164063,0.828,0.9,3743352
22,2010,soy,256,0.818681396484375,0.772,0.868,3743352
23,2010,soy,263,0.77414697265625,0.724,0.824,3743352
24,2010,soy,270,0.751984375,0.7,0.796,3743352
25,2010,soy,277,0.72403662109375,0.676,0.764,3743352
