crop,doy,posterior_mean,posterior_iqr_25,posterior_iqr_75,ci_05,ci_95
corn,97,0.68947,0.67544,0.70311,0.65582,0.72564
corn,98,0.68716,0.67249,0.70136,0.65326,0.71976
corn,98,0.68498,0.67138,0.69909,0.65274,0.71867
corn,99,0.68295,0.66854,0.69627,0.64856,0.71407
corn,100,0.68109,0.66744,0.69497,0.64728,0.71394
corn,101,0.67941,0.66501,0.69261,0.64615,0.71152
corn,101,0.67794,0.66454,0.69224,0.64415,0.71209
corn,102,0.67667,0.66333,0.69072,0.6434,0.70813
corn,103,0.67562,0.66197,0.6883,0.64287,0.70786
corn,104,0.67479,0.66163,0.68859,0.64269,0.70908
corn,104,0.67419,0.66024,0.68713,0.64083,0.70678
corn,105,0.67382,0.66081,0.68715,0.64028,0.7074
corn,106,0.67366,0.66033,0.68721,0.64126,0.70718
corn,106,0.67372,0.65926,0.68766,0.63897,0.70809
corn,107,0.674,0.66106,0.68738,0.64132,0.70612
corn,108,0.67447,0.6614,0.68653,0.64218,0.7072
corn,109,0.67513,0.66138,0.68722,0.64186,0.70855
corn,109,0.67596,0.66238,0.68877,0.64201,0.70925
corn,110,0.67695,0.66285,0.69021,0.64336,0.71062
corn,111,0.67808,0.66302,0.69099,0.64407,0.71205
corn,111,0.67934,0.66601,0.69362,0.64491,0.71191
corn,112,0.6807,0.66829,0.69465,0.64953,0.71498
corn,113,0.68215,0.66784,0.69565,0.64797,0.71486
corn,114,0.68366,0.66995,0.69673,0.65038,0.71751
corn,114,0.68523,0.67245,0.69964,0.65245,0.7195
corn,115,0.68683,0.67306,0.69997,0.65396,0.71954
corn,116,0.68844,0.67549,0.70236,0.65637,0.72152
corn,117,0.69005,0.67659,0.70393,0.65626,0.72286
corn,117,0.69164,0.678,0.70571,0.65815,0.72448
corn,118,0.69319,0.68035,0.70814,0.65991,0.72871
corn,119,0.69471,0.68158,0.70869,0.6598,0.72939
corn,119,0.69616,0.68216,0.71,0.66346,0.72914
corn,120,0.69756,0.68255,0.71143,0.66257,0.72908
corn,121,0.69888,0.6859,0.71282,0.66565,0.73196
corn,122,0.70012,0.68577,0.71398,0.66386,0.73417
corn,122,0.70128,0.68739,0.71485,0.66749,0.7336
corn,123,0.70237,0.68805,0.71512,0.66875,0.73597
corn,124,0.70337,0.68933,0.71635,0.67012,0.7365
corn,124,0.70429,0.68948,0.71881,0.67154,0.7406
corn,125,0.70514,0.69078,0.71844,0.67234,0.73831
corn,126,0.70593,0.69224,0.7195,0.6733,0.73947
corn,127,0.70666,0.69329,0.71977,0.67279,0.73826
corn,127,0.70734,0.69348,0.72138,0.67369,0.73974
corn,128,0.70798,0.69381,0.72176,0.67367,0.74033
corn,129,0.7086,0.69388,0.72131,0.67527,0.7417
corn,130,0.70921,0.69571,0.72222,0.67828,0.74194
corn,130,0.70982,0.69606,0.7238,0.67574,0.7431
corn,131,0.71044,0.6967,0.72347,0.67654,0.74278
corn,132,0.71109,0.69791,0.72544,0.67934,0.74648
corn,132,0.71179,0.69814,0.72487,0.67976,0.74417
corn,133,0.71254,0.69946,0.72742,0.68068,0.74681
corn,134,0.71336,0.69964,0.72743,0.67996,0.74675
corn,135,0.71425,0.70095,0.72741,0.68082,0.74645
corn,135,0.71523,0.70175,0.72841,0.68177,0.7484
corn,136,0.71631,0.70249,0.7294,0.68307,0.75028
corn,137,0.71749,0.70422,0.73226,0.68309,0.75083
corn,137,0.71877,0.70503,0.73274,0.68629,0.75239
