state,crop,mean_z,max_z,frac_obs_z_gt_1,frac_obs_z_gt_1p5,n_pixel_weeks
Illinois,corn,0.8097,2.2511,0.4603,0.1548,2178324
Illinois,oats,0.7624,2.0178,0.387,0.1331,1044
Illinois,soybean,0.8037,2.2511,0.4512,0.1457,1981530
Illinois,winter_wheat,0.7819,2.2489,0.4151,0.0894,56736
Indiana,corn,0.7322,2.2461,0.3995,0.1099,979488
Indiana,oats,0.7851,1.8817,0.4222,0.1333,90
Indiana,soybean,0.7483,2.2461,0.4113,0.1142,1053990
Indiana,winter_wheat,0.7763,2.1524,0.4216,0.1071,17874
Iowa,corn,0.8722,2.2077,0.483,0.1709,2901150
Iowa,oats,0.888,2.2077,0.4978,0.1655,14976
Iowa,soybean,0.8692,2.2077,0.481,0.1748,1975248
Iowa,winter_wheat,1.1134,1.9668,0.6889,0.3778,90
Kansas,corn,0.7005,2.1967,0.461,0.1569,815490
Kansas,oats,0.8893,2.1278,0.5951,0.2308,1746
Kansas,soybean,0.8764,2.1967,0.5463,0.1772,572580
Kansas,winter_wheat,0.908,2.1967,0.5597,0.2551,27360
Kentucky,corn,0.3973,2.2299,0.2072,0.0604,234126
Kentucky,soybean,0.4627,2.2299,0.2313,0.0744,194814
Kentucky,winter_wheat,0.2401,2.181,0.1632,0.041,44442
Michigan,corn,0.6523,2.1653,0.3178,0.0544,320436
Michigan,oats,0.6446,2.1653,0.2945,0.047,2214
Michigan,soybean,0.6796,2.1444,0.3414,0.0667,313272
Michigan,winter_wheat,0.7976,1.7913,0.3796,0.1019,216
Minnesota,corn,0.9168,2.1283,0.5042,0.1311,1610262
Minnesota,oats,0.6484,2.0877,0.3799,0.1,4230
Minnesota,soybean,0.8188,2.1204,0.4561,0.1184,1354158
Missouri,corn,0.7447,2.1204,0.3864,0.0794,539694
Missouri,oats,0.7957,1.8041,0.4259,0.1111,108
Missouri,soybean,0.7444,2.1204,0.3827,0.0864,825660
Missouri,winter_wheat,0.751,2.1204,0.3797,0.0963,44028
Nebraska,corn,0.8367,2.2406,0.4937,0.1655,2106738
Nebraska,oats,0.9075,2.1893,0.5154,0.2044,6408
Nebraska,soybean,0.8534,2.2406,0.4918,0.1574,1035954
Nebraska,winter_wheat,1.1125,1.8041,0.6667,0.2222,18
North Dakota,corn,0.4551,2.1786,0.1342,0.0117,557298
North Dakota,oats,0.4113,1.9349,0.1552,0.0111,5418
North Dakota,soybean,0.3778,2.1786,0.108,0.0094,854766
Ohio,corn,0.8507,2.1675,0.4449,0.1244,506844
Ohio,oats,0.7752,1.9303,0.3631,0.0317,504
Ohio,soybean,0.867,2.1675,0.4565,0.1347,806274
Ohio,winter_wheat,0.8492,2.0851,0.4416,0.1164,6768
South Dakota,corn,1.0753,2.2448,0.6357,0.2233,827208
South Dakota,oats,0.9945,2.1324,0.5712,0.1285,13428
South Dakota,soybean,1.0786,2.2448,0.6417,0.2228,717804
Wisconsin,corn,0.8056,2.2216,0.4138,0.0632,580248
Wisconsin,oats,0.8196,2.2109,0.4275,0.0746,10260
Wisconsin,soybean,0.8001,2.2216,0.4075,0.0605,279684
Wisconsin,winter_wheat,0.7237,1.6755,0.3333,0.0833,36
outside,corn,0.2714,2.1902,0.1893,0.0389,474804
outside,oats,0.4722,2.0141,0.2266,0.0562,1584
outside,soybean,0.3553,2.1376,0.2176,0.0502,242604
outside,winter_wheat,0.277,2.1376,0.2158,0.0648,26208
