state,crop,mean_z,max_z,frac_obs_z_gt_1,frac_obs_z_gt_1p5,n_pixel_weeks,mean_nig_p_drought,frac_pdrought_lt_0p1
Illinois,corn,0.8235,2.2511,0.4706,0.1457,2178324,0.7824,0.0003
Illinois,oats,0.7334,2.0274,0.3879,0.0872,1044,0.778,0.0
Illinois,soybean,0.8207,2.2511,0.463,0.1374,1981530,0.7833,0.0003
Illinois,winter_wheat,0.8278,2.2489,0.4362,0.0873,56736,0.7842,0.0
Indiana,corn,0.7462,2.2316,0.4073,0.1042,979488,0.7403,0.0
Indiana,oats,0.7748,1.8817,0.4222,0.0889,90,0.7841,0.0
Indiana,soybean,0.7624,2.2316,0.4184,0.1062,1053990,0.7546,0.0
Indiana,winter_wheat,0.8107,2.2048,0.4296,0.1169,17874,0.7725,0.0
Iowa,corn,0.9145,2.2077,0.4997,0.1775,2901150,0.8028,0.0006
Iowa,oats,0.9357,2.2077,0.5152,0.1762,14976,0.8115,0.0006
Iowa,soybean,0.9092,2.2077,0.4954,0.1795,1975248,0.8011,0.0008
Iowa,winter_wheat,1.1525,2.0376,0.6889,0.3889,90,0.8493,0.0
Kansas,corn,0.7085,2.1967,0.4585,0.1539,815490,0.6915,0.0215
Kansas,oats,0.9099,2.1278,0.6077,0.2371,1746,0.7638,0.0109
Kansas,soybean,0.9292,2.1967,0.5701,0.1873,572580,0.81,0.0045
Kansas,winter_wheat,0.9581,2.1967,0.589,0.2457,27360,0.8165,0.0039
Kentucky,corn,0.4627,2.2428,0.2194,0.0714,234126,0.6773,0.001
Kentucky,soybean,0.5185,2.2428,0.243,0.0877,194814,0.6934,0.0011
Kentucky,winter_wheat,0.3335,2.1899,0.1804,0.0487,44442,0.6367,0.0005
Michigan,corn,0.6818,2.1653,0.3139,0.0518,320436,0.6799,0.0
Michigan,oats,0.6791,2.1653,0.2972,0.0524,2214,0.6472,0.0
Michigan,soybean,0.7091,2.1444,0.338,0.0595,313272,0.706,0.0
Michigan,winter_wheat,0.8082,1.6538,0.375,0.0509,216,0.8038,0.0
Minnesota,corn,1.0065,2.1283,0.5687,0.1505,1610262,0.8089,0.0004
Minnesota,oats,0.7232,2.0877,0.418,0.1128,4230,0.6759,0.0019
Minnesota,soybean,0.9094,2.1204,0.5162,0.1353,1354158,0.7745,0.0012
Missouri,corn,0.8073,2.1953,0.4086,0.1117,539694,0.7816,0.0021
Missouri,oats,0.8424,1.8978,0.4352,0.1481,108,0.8074,0.0
Missouri,soybean,0.8088,2.1953,0.4066,0.1191,825660,0.7788,0.0022
Missouri,winter_wheat,0.8038,2.1091,0.4007,0.1089,44028,0.7572,0.0015
Nebraska,corn,0.8612,2.2406,0.5003,0.176,2106738,0.7063,0.0022
Nebraska,oats,0.9388,2.1893,0.5381,0.1998,6408,0.7181,0.0006
Nebraska,soybean,0.8786,2.2406,0.4956,0.1641,1035954,0.7415,0.0007
Nebraska,winter_wheat,1.1255,1.8041,0.6667,0.2778,18,0.8652,0.0
North Dakota,corn,0.5655,2.2044,0.1995,0.018,557298,0.6377,0.0041
North Dakota,oats,0.5158,2.0814,0.2254,0.0281,5418,0.5909,0.0039
North Dakota,soybean,0.4858,2.1786,0.1643,0.0129,854766,0.612,0.0061
Ohio,corn,0.9075,2.2059,0.4674,0.1482,506844,0.7984,0.0
Ohio,oats,0.8333,1.9303,0.3829,0.0417,504,0.7885,0.0
Ohio,soybean,0.9159,2.2059,0.4736,0.1532,806274,0.805,0.0
Ohio,winter_wheat,0.9166,2.1713,0.4728,0.1486,6768,0.7944,0.0
South Dakota,corn,1.1588,2.2448,0.7024,0.2393,827208,0.8512,0.0
South Dakota,oats,1.083,2.1324,0.6402,0.1504,13428,0.8258,0.0001
South Dakota,soybean,1.1618,2.2448,0.7086,0.2376,717804,0.8537,0.0
Wisconsin,corn,0.8551,2.2216,0.4416,0.0667,580248,0.7532,0.0
Wisconsin,oats,0.877,2.2109,0.4633,0.0796,10260,0.7555,0.0
Wisconsin,soybean,0.8483,2.2216,0.4348,0.0628,279684,0.7534,0.0
Wisconsin,winter_wheat,0.7614,1.6755,0.3333,0.0833,36,0.6681,0.0
outside,corn,0.2768,2.1573,0.1916,0.0361,474804,0.5398,0.0289
outside,oats,0.4719,2.0141,0.2285,0.0492,1584,0.6327,0.0145
outside,soybean,0.4356,2.1376,0.2536,0.0764,242604,0.6422,0.0133
outside,winter_wheat,0.3657,2.1376,0.258,0.0797,26208,0.622,0.018
