state,crop,mean_z,max_z,frac_obs_z_gt_1,frac_obs_z_gt_1p5,n_pixel_weeks,mean_nig_p_drought,frac_pdrought_lt_0p1
Illinois,corn,-0.7645,3.1942,0.0312,0.0066,1774214,0.3236,0.1557
Illinois,oats,-0.6205,1.2598,0.0497,0.0,1066,0.3443,0.1276
Illinois,soybean,-0.7667,3.1942,0.031,0.0064,1739816,0.3215,0.1569
Illinois,winter_wheat,-0.5095,2.4805,0.0291,0.0089,56771,0.3568,0.0727
Indiana,corn,-0.9432,3.6133,0.0352,0.0127,872508,0.2845,0.2833
Indiana,oats,-0.812,2.1933,0.0231,0.0115,260,0.2933,0.2538
Indiana,soybean,-0.9419,3.6133,0.0371,0.0124,970853,0.2891,0.28
Indiana,winter_wheat,-0.7533,2.5488,0.0784,0.0302,17303,0.339,0.2155
Iowa,corn,-0.6448,2.6792,0.0767,0.0305,2133586,0.345,0.2451
Iowa,oats,-0.6183,2.5844,0.062,0.0191,5902,0.3499,0.2404
Iowa,soybean,-0.671,2.6792,0.0756,0.0309,1692600,0.3365,0.2604
Iowa,winter_wheat,-0.894,1.139,0.0128,0.0,78,0.3085,0.1026
Kansas,corn,-1.0018,2.885,0.0324,0.0084,618397,0.249,0.357
Kansas,oats,-1.0526,1.8562,0.0427,0.0043,936,0.2436,0.3878
Kansas,soybean,-0.8938,2.6294,0.0237,0.0024,507780,0.2883,0.3462
Kansas,winter_wheat,-1.0602,2.3546,0.0415,0.0059,57694,0.2547,0.4165
Kentucky,corn,-1.3373,5.0,0.0318,0.0066,187174,0.2812,0.371
Kentucky,soybean,-1.25,5.0,0.0424,0.0112,230646,0.298,0.3523
Kentucky,winter_wheat,-1.5715,4.9409,0.01,0.0025,49543,0.234,0.4196
Michigan,corn,-0.732,3.6133,0.0281,0.0087,361101,0.3346,0.1189
Michigan,oats,-0.7643,2.1775,0.0339,0.008,2860,0.3316,0.0983
Michigan,soybean,-0.7438,3.6133,0.0235,0.0063,372723,0.3346,0.1114
Michigan,winter_wheat,-0.8476,0.8732,0.0,0.0,182,0.3597,0.011
Minnesota,corn,-0.5189,5.0,0.0552,0.0159,1313091,0.3808,0.2089
Minnesota,oats,-0.0356,5.0,0.2042,0.0953,5876,0.4851,0.1302
Minnesota,soybean,-0.4039,5.0,0.0781,0.0269,1178528,0.4084,0.1931
Missouri,corn,-0.8379,3.2165,0.0052,0.0012,504738,0.2892,0.2558
Missouri,oats,-0.8776,0.8177,0.0,0.0,13,0.2656,0.3846
Missouri,soybean,-0.8008,3.6481,0.0099,0.0029,894595,0.3012,0.2363
Missouri,winter_wheat,-0.9339,2.7263,0.0102,0.0042,48360,0.2621,0.2733
Nebraska,corn,-1.0213,3.6862,0.0244,0.0045,1552980,0.2378,0.3699
Nebraska,oats,-0.9812,2.9243,0.0332,0.0048,4394,0.2303,0.2931
Nebraska,soybean,-1.0514,3.6862,0.0219,0.0041,947648,0.2391,0.4054
Nebraska,winter_wheat,-0.8526,0.6636,0.0,0.0,195,0.2948,0.3077
North Dakota,corn,0.1911,5.0,0.1386,0.0533,348335,0.5184,0.032
North Dakota,oats,0.234,3.5591,0.214,0.0752,2379,0.5065,0.0525
North Dakota,soybean,0.2859,5.0,0.1663,0.0659,674128,0.5466,0.0209
Ohio,corn,-0.029,5.0,0.1273,0.0543,548717,0.5289,0.0732
Ohio,oats,-0.2481,2.4351,0.0918,0.0323,403,0.4592,0.1117
Ohio,soybean,-0.0435,5.0,0.1254,0.0543,838721,0.5306,0.0689
Ohio,winter_wheat,0.172,3.3027,0.2381,0.1172,14118,0.561,0.0674
South Dakota,corn,-0.3323,2.5929,0.0548,0.0104,858598,0.3792,0.1477
South Dakota,oats,-0.4135,2.4238,0.0482,0.0113,11323,0.3538,0.1657
South Dakota,soybean,-0.2998,2.5929,0.0585,0.0116,846781,0.3887,0.1399
South Dakota,winter_wheat,0.1553,1.4874,0.1538,0.0,13,0.5152,0.0
Wisconsin,corn,-0.9034,5.0,0.0055,0.0006,582166,0.2873,0.1663
Wisconsin,oats,-1.0053,4.703,0.0041,0.0006,3133,0.2698,0.1807
Wisconsin,soybean,-0.9123,5.0,0.0056,0.0004,336700,0.2852,0.1655
Wisconsin,winter_wheat,-0.5434,0.6048,0.0,0.0,156,0.362,0.1154
outside,corn,-0.7887,5.0,0.0542,0.0253,396448,0.2974,0.2053
outside,oats,-0.7978,3.194,0.0409,0.0224,1027,0.2843,0.1986
outside,soybean,-0.7211,5.0,0.105,0.0404,273975,0.3573,0.2539
outside,winter_wheat,-0.9468,5.0,0.089,0.0388,39299,0.3179,0.3213
